,name,figi,ticker,class_code
0,Японская иена,TCS1013HQ524,JPYRUB_TOD,CETS
1,Армянский драм,BBG0013J7V24,AMDRUB_TOM,CETS
2,Японская иена,BBG0013HQ524,JPYRUB_TOM,CETS
3,Казахстанский тенге,BBG0013HG026,KZTRUB_TOM,CETS
4,Швейцарский франк,BBG0013HQ5K4,CHFRUB_TOM,CETS
5,Российский рубль,RUB000UTSTOM,RUB000UTSTOM,CETS
6,Киргизский сом,BBG0013J7Y00,KGSRUB_TOM,CETS
7,Узбекский сум,BBG0013HQ310,UZSRUB_TOM,CETS
8,Китайский юань,TCS1013HRTL0,CNY000000TOD,CETS
9,Доллар США,BBG0013HGFT4,USD000UTSTOM,CETS
10,Китайский юань,BBG0013HRTL0,CNYRUB_TOM,CETS
11,Таджикский сомони,BBG0013J11P1,TJSRUB_TOM,CETS
12,Турецкая лира,TCS1013J12N1,TRYRUB_TOD,CETS
13,Белорусский рубль,BBG00D87WQY7,BYNRUB_TOM,CETS
14,Евро,BBG0013HJJ31,EUR_RUB__TOM,CETS
15,Фунт стерлингов,BBG0013HQ5F0,GBPRUB_TOM,CETS
16,Гонконгский доллар,BBG0013HSW87,HKDRUB_TOM,CETS
17,Золото,BBG000VJ5YR4,GLDRUB_TOM,CETS
18,Турецкая лира,BBG0013J12N1,TRYRUB_TOM,CETS
19,Доллар США,TCS0013HGFT4,USD000000TOD,CETS
20,Южноафриканский рэнд,BBG0013HLF18,ZARRUB_TOM,CETS
21,Серебро,BBG000VHQTD1,SLVRUB_TOM,CETS
22,Дирхам ОАЭ,BBG0013HJ924,AEDRUB_TOM,CETS
