,name,figi,ticker,class_code
0,Bayerische Motoren Werke AG,BBGBMW000000,BBGBMW000000,BBGBMW000000
1,Revvity,BBG000FXW512,PKI,SPBXM
2,Arrival,LU2314763264,LU2314763264,SPBXM_OTC
3,United Airlines Holdings,US9100471096,US9100471096,SPBXM_OTC
4,CarMax,US1431301027,US1431301027,SPBXM_OTC
5,Reliance Steel & Aluminum Co,US7595091023,US7595091023,SPBXM_OTC
6,Far Peak Acquisition Corp,BBG00YVVW346,FPAC,FPAC
7,Vitru,BBG00WXXS401,VTRU,VTRU
8,Atotech,BBG00RDKNZ62,ATC,ATC
9,Solid Power,BBG0112HCSY4,SLDP,SLDP
10,Poshmark,US73739W1045,US73739W1045,SPBXM_OTC
11,APA Corporation,BBG00YTS96G2,APA,SPBXM
12,Comcast,TCS0030N1019,CMCSA-RM,FQBR
13,Dynavax Technologies Corp,BBG000BFX694,DVAX,DVAX
14,CNX Resources Corporation,BBG000CKVSG8,CNX,SPBXM
15,Mercury Systems,BBG000BX5GS3,MRCY,MRCY
16,23andMe,BBG00XV5CYH5,ME,ME
17,Grocery Outlet Holding Corp,US39874R1014,US39874R1014,SPBXM_OTC
18,DXC Technology,US23355L1061,US23355L1061,SPBXM_OTC
19,SLM Corp,BBG000BBCQD7,SLM,SPBXM
20,Southwest Gas Holdings,BBG00FWP4JW4,SWX,SPBXM
21,Solid Biosciences,BBG00JN4FXG8,SLDB,SPBXM
22,Axcelis Technologies,BBG000DW34S2,ACLS,SPBXM
23,Evercore,US29977A1051,US29977A1051,SPBXM_OTC
24,Wereldhave REIT,BBG000BCHNJ1,WHA,WHA
25,Sunrun Inc,US86771W1053,US86771W1053,SPBXM_OTC
26,Amdocs,BBG000C3MXG5,DOX,DOX
27,Masco,US5745991068,US5745991068,SPBXM_OTC
28,Avenue Therapeutics,BBG00GLTS4V4,ATXI,ATXI
29,LG Display,BBG000FJ0RK9,LPL,SPBXM
30,Amphastar Pharmaceuticals,BBG000BW90S6,AMPH,SPBXM
31,Verizon Communications,US92343V1044,US92343V1044,SPBXM_OTC
32,Владимирский хим завод,BBG000PTLZD3,VLHZ,TQBR
33,"iCAD, Inc.",BBG000KM7J81,ICAD,ICAD
34,Archrock,BBG000RWH1V4,AROC,AROC
35,Conagra Brands,BBG000BDXGP9,CAG,SPBXM
36,Детский Мир,BBG000BN56Q9,DSKY,TQBR
37,"WW International, Inc.",BBG000DY6735,WW,SPBXM
38,MillerKnoll,BBG000BP46T2,MLKN,SPBXM
39,РОСБАНК,BBG000PND2J2,ROSB,TQBR
40,Nano X Imaging Ltd.,BBG00RDSZ6J2,NNOX,NNOX
41,GGP,BBG000BG3HG3,GGP,SPBXM
42,Austerlitz Acquisition Corp I,BBG00Z9CGKP7,AUS,AUS
43,Villeroy & Boch,BBG000BFNQL7,VIB3,SPBXM
44,Technip Energies АДР,BBG00ZCVVQG1,THNPY,THNPY
45,Remitly Global,BBG012C7JST2,RELY,SPBXM
46,Agios Pharmaceuticals Inc,US00847X1046,US00847X1046,SPBXM_OTC
47,BASF SE,BBG000BBVVK7,BAS@DE,SPBDE
